id,,,,,,
name,,,,,,
1,Software Engineer
2,&nbsp;&nbsp;&nbsp; Mobile Developer
3,&nbsp;&nbsp;&nbsp; Frontend Developer
4,&nbsp;&nbsp;&nbsp; Backend Developer
5,&nbsp;&nbsp;&nbsp; Full-Stack Developer
6,&nbsp;&nbsp;&nbsp; Engineering Manager
7,&nbsp;&nbsp;&nbsp; QA Engineer
8,&nbsp;&nbsp;&nbsp; DevOps
9,&nbsp;&nbsp;&nbsp; Software Architect
10,Designer
11,&nbsp;&nbsp;&nbsp; UI/UX Designer
12,&nbsp;&nbsp;&nbsp; User Researcher
13,&nbsp;&nbsp;&nbsp; Visual Designer
14,&nbsp;&nbsp;&nbsp; Creative Director
15,Operations
16,&nbsp;&nbsp;&nbsp; Finance/Accounting
17,&nbsp;&nbsp;&nbsp; H.R.
18,&nbsp;&nbsp;&nbsp; Office Manager
19,&nbsp;&nbsp;&nbsp; Recruiter
20,&nbsp;&nbsp;&nbsp; Customer Service
21,&nbsp;&nbsp;&nbsp; Operations Manager
22,Sales
23,&nbsp;&nbsp;&nbsp; Business Development
24,&nbsp;&nbsp;&nbsp; Sales Development
25,&nbsp;&nbsp;&nbsp; Account Executive
26,&nbsp;&nbsp;&nbsp; BD Manager
27,&nbsp;&nbsp;&nbsp; Account Manager
28,&nbsp;&nbsp;&nbsp; Sales Manager
29,Marketing
30,&nbsp;&nbsp;&nbsp; Growth Hacker
31,&nbsp;&nbsp;&nbsp; Marketing Manager
32,&nbsp;&nbsp;&nbsp; Content Creator
33,Hardware Engineer
34,Mechanical Engineer
35,Systems Engineer
36,Business Analyst
37,Data Scientist
38,Product Manager
39,Project Manager
